rank,sector_name,行业指数,change_pct,inflow,outflow,main_net_inflow,stock_count,领涨股,领涨股-涨跌幅,当前价,fetch_date,fetch_time
323,仿制药一致性评价,1686.42,-0.32,51.38,66.44,-1506000000.0,140,金陵药业,5.58,7.95,2026-01-04,00:29:05
324,存储芯片,1773.2,-0.32,453.83,500.9,-4707000000.0,159,雷科防务,9.99,12.55,2026-01-04,00:29:05
325,2025三季报预增,1081.29,-0.33,129.14,144.82,-1567000000.0,81,粤桂股份,4.91,19.46,2026-01-04,00:29:05
326,新能源汽车,4662.42,-0.34,1726.16,2041.48,-31532000000.0,1003,泰尔股份,10.04,12.38,2026-01-04,00:29:05
327,华为数字能源,1463.52,-0.34,39.27,51.85,-1258000000.0,43,易华录,3.87,17.45,2026-01-04,00:29:05
328,脑机接口,1636.91,-0.34,83.8,80.47,333000000.0,51,海格通信,4.17,15.75,2026-01-04,00:29:05
329,减速器,2126.38,-0.35,259.35,293.2,-3385000000.0,127,飞亚达,10.01,16.38,2026-01-04,00:29:05
330,人形机器人,2532.08,-0.35,962.8,1101.16,-13837000000.0,399,广联航空,10.62,39.07,2026-01-04,00:29:05
331,土地流转,2148.26,-0.36,30.82,34.32,-349000000.0,39,光明地产,6.0,3.89,2026-01-04,00:29:05
332,氟化工概念,4773.19,-0.37,121.18,124.52,-335000000.0,54,华谊集团,2.25,7.71,2026-01-04,00:29:05
333,长安汽车概念,1717.49,-0.37,404.16,440.17,-3601000000.0,444,北斗星通,10.0,45.43,2026-01-04,00:29:05
334,F5G概念,3352.34,-0.37,187.55,243.51,-5596000000.0,37,烽火通信,10.01,32.08,2026-01-04,00:29:05
335,玉米,2771.45,-0.37,17.9,20.06,-216000000.0,33,*ST万方,4.93,4.68,2026-01-04,00:29:05
336,页岩气,2801.13,-0.38,53.71,56.02,-229999999.99999997,49,海默科技,3.74,9.99,2026-01-04,00:29:05
337,富士康概念,2848.36,-0.38,284.05,322.68,-3861999999.9999995,104,信维通信,16.98,62.0,2026-01-04,00:29:05
338,新疆振兴,1027.34,-0.38,125.56,150.83,-2527000000.0,145,广东宏大,7.44,47.8,2026-01-04,00:29:05
339,摘帽,906.962,-0.39,38.84,56.84,-1800000000.0,49,天创时尚,10.04,10.3,2026-01-04,00:29:05
340,新股与次新股,16317.4,-0.39,86.52,92.98,-646000000.0,116,蘅东光,878.16,309.0,2026-01-04,00:29:05
341,农业种植,2584.48,-0.39,37.98,44.04,-606000000.0,90,粤桂股份,4.91,19.46,2026-01-04,00:29:05
342,储能,2417.66,-0.4,1171.46,1397.2,-22574000000.0,785,顺控发展,10.01,15.93,2026-01-04,00:29:05
343,医药电商,1059.55,-0.4,53.2,64.04,-1084000000.0,163,华瑞股份,8.68,15.91,2026-01-04,00:29:05
344,消毒剂,2060.81,-0.4,27.83,34.28,-645000000.0,59,联盛化学,6.24,29.96,2026-01-04,00:29:05
345,煤化工概念,2444.79,-0.41,110.28,130.86,-2057999999.9999998,99,航天晨光,10.0,30.13,2026-01-04,00:29:05
346,猪肉,2721.54,-0.42,19.48,27.64,-816000000.0,32,金新农,9.95,6.08,2026-01-04,00:29:05
347,期货概念,1948.13,-0.45,116.85,143.05,-2620000000.0,71,云南铜业,5.5,20.51,2026-01-04,00:29:05
348,同花顺漂亮100,892.896,-0.47,673.73,800.94,-12722000000.0,100,中国中免,4.82,94.56,2026-01-04,00:29:05
349,生物疫苗,1821.9,-0.47,17.49,23.9,-641000000.0,60,*ST万方,4.93,4.68,2026-01-04,00:29:05
350,华为手机,1515.98,-0.48,79.28,105.34,-2606000000.0,44,银邦股份,6.38,15.51,2026-01-04,00:29:05
351,磷化工,2821.92,-0.48,114.96,116.94,-198000000.0,57,粤桂股份,4.91,19.46,2026-01-04,00:29:05
352,锂电池概念,1835.63,-0.49,915.95,1048.61,-13266000000.0,559,泰尔股份,10.04,12.38,2026-01-04,00:29:05
353,乳业,2223.2,-0.51,9.94,13.92,-398000000.0,35,科拓生物,1.15,16.77,2026-01-04,00:29:05
354,大豆,1902.49,-0.51,6.86,8.15,-129000000.0,14,索宝蛋白,1.27,18.32,2026-01-04,00:29:05
355,培育钻石,1706.68,-0.53,28.3,29.34,-103000000.0,18,国机精工,3.55,43.18,2026-01-04,00:29:05
356,钛白粉概念,1777.05,-0.54,7.95,9.25,-129000000.0,14,国城矿业,3.5,27.8,2026-01-04,00:29:05
357,信托概念,1289.36,-0.54,19.67,24.02,-434000000.0,23,新黄浦,5.2,6.47,2026-01-04,00:29:05
358,抽水蓄能,1436.66,-0.54,114.62,142.88,-2825000000.0,70,湘电股份,7.49,15.78,2026-01-04,00:29:05
359,固态电池,1347.23,-0.55,454.26,508.16,-5390000000.0,278,乐凯胶片,10.02,10.32,2026-01-04,00:29:05
360,农村电商,2009.51,-0.55,29.04,40.24,-1121000000.0,37,德生科技,10.03,10.53,2026-01-04,00:29:05
361,染料,1476.62,-0.55,8.84,11.9,-306000000.0,35,安诺其,3.52,5.0,2026-01-04,00:29:05
