序号,名称,最新涨跌幅,北向资金今日持股-股票只数,北向资金今日持股-市值,北向资金今日持股-占板块比,北向资金今日持股-占北向资金比,北向资金今日增持估计-股票只数,北向资金今日增持估计-市值,北向资金今日增持估计-市值增幅,北向资金今日增持估计-占板块比,北向资金今日增持估计-占北向资金比,今日增持最大股-市值,今日增持最大股-占总市值比,今日减持最大股-市值,今日减持最大股-占总市值比,报告时间,fetch_date,direction
54,物流行业,0.34,31,25572971055.47,0.026771479135,0.014517538777,5,-100104605.1581,-0.38901712,-0.000104796128,-5.6828457e-05,顺丰控股,德邦股份,物产中大,长久物流,2024-08-16,2026-01-04,northbound
55,食品饮料,0.12,68,40343774879.7,0.033259491296,0.022902787281,15,-100864366.2531,-0.24813907,-8.3152792e-05,-5.7259766e-05,东鹏饮料,盐津铺子,安井食品,国联水产,2024-08-16,2026-01-04,northbound
56,贵金属,-0.83,11,36281921669.63,0.047421772344,0.02059691084,3,-108330998.7454,-0.30005613,-0.000141592499,-6.1498504e-05,中金黄金,中金黄金,湖南黄金,湖南黄金,2024-08-16,2026-01-04,northbound
57,航空机场,2.41,13,12025371513.55,0.019719274788,0.006826692013,1,-113816881.7365,-0.93346562,-0.000186637591,-6.4612789e-05,中信海直,中信海直,上海机场,深圳机场,2024-08-16,2026-01-04,northbound
58,医疗服务,-0.01,28,13190275866.7,0.026398129811,0.007487997424,10,-117037636.6887,-0.88188036,-0.000234231244,-6.6441182e-05,泰格医药,诺泰生物,金域医学,金域医学,2024-08-16,2026-01-04,northbound
59,船舶制造,-1.12,9,8727371577.83,0.020830264933,0.004954448,0,-122427056.4566,-1.37790061,-0.000292205734,-6.9500706e-05,,,中国船舶,亚光科技,2024-08-16,2026-01-04,northbound
60,环保行业,0.23,33,2485121256.68,0.008938967688,0.001410780317,3,-126069347.1373,-4.77235433,-0.000453470758,-7.1568401e-05,惠城环保,惠城环保,伟明环保,岭南股份,2024-08-16,2026-01-04,northbound
61,化纤行业,-0.64,16,7075681886.68,0.01969007947,0.004016799063,0,-126250456.009,-1.75289858,-0.000351327484,-7.1671214e-05,,,中简科技,中简科技,2024-08-16,2026-01-04,northbound
62,农牧饲渔,-0.51,41,17657614730.85,0.022648612282,0.010024064314,10,-134671659.0424,-0.74606467,-0.000172737158,-7.6451853e-05,海大集团,新五丰,温氏股份,平潭发展,2024-08-16,2026-01-04,northbound
63,汽车零部件,0.05,81,23221987714.11,0.025280691791,0.013182907312,23,-145065382.3405,-0.61555344,-0.000157925896,-8.2352274e-05,星宇股份,贝斯特,华域汽车,云内动力,2024-08-16,2026-01-04,northbound
