rank,sector_name,行业指数,行业-涨跌幅,流入资金,流出资金,净额,stock_count,领涨股,领涨股-涨跌幅,当前价,sector_type,fetch_date
21,厨卫电器,6922.12,0.62,1.92,2.0,-0.08,9,火星人,4.61,11.79,industry,2026-01-04
22,游戏,10590.0,0.6,45.76,41.63,4.13,24,昆仑万维,3.78,41.7,industry,2026-01-04
23,包装印刷,4813.09,0.57,46.59,78.27,-31.68,47,顺灏股份,10.02,18.33,industry,2026-01-04
24,工业金属,4339.59,0.56,250.95,242.9,8.06,58,江西铜业,9.29,54.92,industry,2026-01-04
25,美容护理,5739.26,0.53,12.56,11.38,1.18,32,延江股份,11.68,14.82,industry,2026-01-04
26,电机,3846.06,0.43,58.01,66.83,-8.82,25,星德胜,10.01,37.36,industry,2026-01-04
27,食品加工制造,5368.83,0.35,18.46,21.32,-2.87,66,巴比食品,10.01,31.32,industry,2026-01-04
28,燃气,1792.69,0.32,14.24,19.75,-5.51,28,美能能源,10.02,14.71,industry,2026-01-04
29,小家电,4808.37,0.3,10.04,10.82,-0.78,25,飞科电器,7.13,43.28,industry,2026-01-04
30,轨交设备,1133.14,0.3,7.88,8.07,-0.2,30,雷尔伟,8.77,22.58,industry,2026-01-04
31,物流,5801.67,0.28,19.86,26.47,-6.61,49,中创物流,10.02,13.73,industry,2026-01-04
32,环境治理,4115.49,0.28,43.75,52.3,-8.55,112,顺控发展,10.01,15.93,industry,2026-01-04
33,建筑装饰,4336.27,0.21,94.09,89.05,5.04,151,华建集团,9.98,21.7,industry,2026-01-04
34,公路铁路运输,1421.32,0.21,11.95,13.31,-1.36,32,申通地铁,3.16,8.48,industry,2026-01-04
35,多元金融,1286.25,0.21,57.79,55.31,2.48,27,鲁信创投,10.01,24.73,industry,2026-01-04
36,通用设备,9186.34,0.2,272.44,299.7,-27.25,249,金沃股份,10.49,84.88,industry,2026-01-04
