date,etf_code,etf_name,label_next_return,model_score,momentum_10d,momentum_5d,vol_score,model_norm,pred_score,pred_rank,actual_rank
2025-08-22,512760,芯片ETF,1.52,0.2773696612623099,1.0,1.0,0.8857142857142857,1.0,0.9885714285714287,1.0,25.0
2025-08-22,512800,银行ETF,0.7,-0.00029754440779552506,0.02857142857142857,0.11428571428571428,0.17142857142857143,0.0,0.06428571428571428,35.0,35.0
2025-08-22,512880,证券ETF,1.05,0.009552717109463208,0.7428571428571429,0.4,0.6285714285714286,0.03547506265094109,0.5224641165404983,15.0,34.0
2025-08-22,512980,传媒ETF,1.43,-0.00029754440779552506,0.6571428571428571,0.7714285714285715,0.11428571428571428,0.0,0.5385714285714286,13.0,27.0
2025-08-22,515000,科技ETF,3.09,0.13899705460130937,0.8571428571428571,0.8285714285714286,0.6857142857142857,0.5016602471038655,0.7781061799227227,5.0,9.0
2025-08-22,515030,新能源车ETF,1.84,-0.00029754440779552506,0.6285714285714286,0.45714285714285713,0.3142857142857143,0.0,0.4514285714285714,19.0,22.0
2025-08-22,515050,5GETF,5.01,0.009552717109463208,0.9428571428571428,0.8857142857142857,0.2857142857142857,0.03547506265094109,0.7238926879690697,6.0,3.0
2025-08-22,515220,煤炭ETF,1.42,-0.00029754440779552506,0.05714285714285714,0.02857142857142857,0.42857142857142855,0.0,0.07714285714285714,34.0,28.0
2025-08-22,515790,光伏ETF,2.23,-0.00029754440779552506,0.6857142857142857,0.6,0.4,0.0,0.5285714285714286,14.0,14.0
2025-08-22,516150,稀土ETF,6.81,0.009552717109463208,0.7714285714285715,0.8,0.6,0.03547506265094109,0.6524641165404983,9.0,1.0
2025-08-22,516510,云计算ETF,3.23,0.009552717109463208,0.8857142857142857,0.9142857142857143,0.08571428571428572,0.03547506265094109,0.6867498308262125,7.0,8.0
2025-08-22,588000,科创50ETF,2.49,0.2773696612623099,0.9142857142857143,0.9714285714285714,0.7714285714285715,1.0,0.93,2.0,12.0
2025-08-25,159607,储能ETF,-1.38,0.2773696612623099,0.5142857142857142,0.4,0.2571428571428571,0.5598858038097901,0.46112572771432564,18.0,32.0
2025-08-25,159611,电力ETF,-0.49,-0.00029754440779552506,0.08571428571428572,0.14285714285714285,0.6857142857142857,0.0,0.15000000000000002,33.0,14.0
2025-08-25,159740,人工智能ETF,-0.64,0.49563788346105825,0.37142857142857144,0.42857142857142855,0.4857142857142857,1.0,0.49428571428571433,16.0,17.5
2025-08-25,159766,旅游ETF,0.42,-0.00029754440779552506,0.17142857142857143,0.2,0.8571428571428571,0.0,0.22285714285714286,28.0,5.0
2025-08-25,159825,农业ETF,2.9,-0.00029754440779552506,0.11428571428571428,0.34285714285714286,0.42857142857142855,0.0,0.19714285714285712,29.0,1.0
2025-08-25,159869,游戏ETF,2.25,0.009552717109463208,0.45714285714285713,0.4857142857142857,0.02857142857142857,0.019861983967524817,0.357265011880843,23.0,2.0
2025-08-25,159901,深证100ETF,-0.09,0.009552717109463208,0.7428571428571429,0.7142857142857143,0.8,0.019861983967524817,0.6315507261665574,10.0,10.0
