date,top5_return,benchmark_return,excess_return,hit_count,hit_rate
2025-04-24,1.2079999999999997,0.37599999999999995,0.8319999999999999,4,0.8
2025-04-25,-1.198,-0.4534285714285714,-0.7445714285714286,1,0.2
2025-04-28,-0.594,-0.002000000000000005,-0.592,0,0.0
2025-04-29,1.1580000000000001,0.5454285714285714,0.6125714285714288,3,0.6
2025-04-30,2.7500000000000004,1.8405714285714285,0.9094285714285719,4,0.8
2025-05-06,-0.334,0.2505714285714285,-0.5845714285714285,1,0.2
2025-05-07,1.032,0.6125714285714285,0.4194285714285715,2,0.4
2025-05-08,-2.1580000000000004,-0.9831428571428571,-1.1748571428571433,0,0.0
2025-05-09,3.2580000000000005,1.3988571428571426,1.8591428571428579,4,0.8
2025-05-12,-1.302,-0.216,-1.086,1,0.2
